METRO STATION ,Distance,Time B/w Stations (IN MINS),Stoppage Time(In secs)
Rajouri Garden(Conn Blue LINE),1.1,1.28,31
Maya Puri,1.5,2.19,24
Naraina Vihar,1.6,2.22,16
Delhi Cantt,1.83,2.3,17
Durgabai Deshmukh South Campus(Conn Orange line)??,3.8,3.57,18
Sir Vishweshwaraiah Moti Bagh,1.34,1.43,33
Bhikaji Cama Place,1.65,2.06,34
Sarojini Nagar,1.4,1.48,29
Dilli Haat INA(Conn YeLLOW LINE),1.1,1.38,23
South Extension,1.33,1.54,18
Lajpat Nagar(Conn VIOLET LINE),1.64,2.14,24
Vinobapuri,1.45,1.45,33
Ashram,1.2,1.54,33
Sarai Kale Khan Hazrat Nizamuddin,2.2,2.3,29
Mayur Vihar Phase-1(Conn BLUE LINE),4.3,4.17,30
Mayur Vihar Pocket I,0.9,1.27,22
Trilokpuri Sanjay Lake,1.5,2.24,21
Vinod Nagar East,1,1.49,25
Mandawali - West Vinod Nagar,0.9,1.43,22
IP Extension,1.4,2.14,23
Anand Vihar(Conn Blue Line),2.1,3.4,31
Karkar Duma(Conn Blue Line),1,1.21,18
Karkarduma Court,1.4,1.54,20
Krishna Nagar,0.8,1.05,14
East Azad Nagar,1,1.25,16
Welcome(Conn RED LINE),1.24,1.41,51
Jaffrabad,2,2.43,18
Maujpur,1.15,1.34,36
Gokulpuri,1.3,1.46,16
Johri Enclave,1.33,1.48,15
Shiv Vihar,1,1.21,1.5
,,,
AQUA LINE,,,
Noida Sector 51(Conn BLUE LINE),0,,4.43
Noida Sector 50,1.3,2.02,13
Noida Sector 76,1,1.29,15
Noida Sector 101,1.2,1.44,10
Noida Sector 81,0.9,1.27,12
NSEZ Noida,2,2.36,13
Noida Sector 83,1.2,1.5,13
Noida Sector 137,1.5,1.52,14
Noida Sector 142,1.66,2.17,13
Noida Sector 143,1.1,1.36,12
Noida Sector 144,1.4,1.5,10
Noida Sector 145,1.2,1.44,11
Noida Sector 146,1.7,2.38,11
Noida Sector 147,1.5,1.55,20
Noida Sector 148,1.65,2.02,15
Knowledge Park II,3,4.14,18
Pari Chowk Greater Noida,1.1,1.33,14
Alpha 1 Greater Noida,1.15,1.37,13
Delta 1 Greater Noida,1.55,2.11,21
GNIDA Office,1.3,1.5,19
Depot Greater Noida,0.9,1.16,3.23
,,,
RAPID METRO,,,
Sector 55-66 (Rapid Metro),0,,1.3
Sector 54 Chowk (Rapid Metro),1.1,1.5,22
Sector 53-54 (Rapid Metro),1.57,2.37,26
Sector 42-43 (Rapid Metro),1.3,2.1,23
DLF Phase 1 (Rapid Metro),1.6,2.4,21
Sikandarpur (Rapid Metro)(Conn Yellow Line),1.3,2.1,1.5
DLF Phase 2 (Rapid Metro),0.9,1.3,21
Belvedere Towers (Rapid Metro),0.7,1.2,19
Cyber City (Rapid Metro),0.8,1.2,27
Moulsari Avenue (Rapid Metro),0.7,1.1,32
DLF Phase 3 (Rapid Metro),1,1.3,22
DLF Phase 2 (Rapid Metro),0.7,1.1,41
,,,
Gray Line,,,
Dwarka(Conn BLUE LINE),0,,1.2
Nangli,1.69,2.12,22
Najafgarh,2.4,2.2,1.12
Dhansa Bus Stand,0.85,0.57,1.5
